## BRITAIN

369 = {"Orkneyjar" "Kirkebukten"}
1978 = {"Hjaltland" "Larvik"}

### NORTH AMERICA   
     
## CALIFORNIA    
     
# ALTA CALIFORNIA   

2842 = "Flekkedal"   
     
# UPPER PERU   
     
2835 = "Lyngdal"   
2838 = "Høllen"   
2941 = "Henrikholm"   
2942 = "Trysil"   
     
### OCEANIA    
     
## Australia    
     
# BRISBANE    
     
4851 = "Bysolskinn"   
4852 = "Hjartdal"   
4853 = "Morgedal"   
4854 = "Vrådal"   
     
# CAPRICORNIA    
     
2730 = "Krokstadøra"   
2731 = "Vihalsen"   
2732 = "Svanem"   
4848 = "Harøysundet"   
4849 = "Jensholmen"   
     
# ILLAWARA    
     
1090 = "Kvalsund"   
4857 = "Risor"   
4858 = "Østerå"   
4859 = "Løvjomås"   
4860 = "Nævesdal"   
     
# NEW SOUTH WALES  
     
1091 = "Hommelvik"   
1092 = "Vikhammer"   
4855 = "Strond"   
4856 = "Kristentrøa"   
     
# PERTH    
     
1084 = "Røyrvik"   
2727 = "Thamshavn"   
4863 = "Vik"   
4864 = "Grimstad"   
     
# PILBARA    
     
2726 = "Ælistranda"   
4865 = "Helldal"   
4866 = "Brekkestø"   
4867 = "Høvåg"   
     
# PRINCELAND    
     
1086 = "Okkenhaug"   
2735 = "Knarrvik"   
2736 = "Tømmervåg"   
4862 = "Rykene"   
     
# QUEENSLAND    
     
1093 = "Flatåsen"   
1094 = "Øysand"   
2733 = "Storoddan"   
4850 = "Årlifoss"   
     
# TASMANIA    
     
1085 = "Skjelstad"   
4868 = "Vesterhus"   
4869 = "Stemshaug"   
     
# TOP END   
     
2728 = "Gilhaugen"   
2729 = "Tannvikvågen"   
4846 = "Folland"   
4847 = "Lyngstad"   
     
# VICTORIA    
     
1087 = "Småland"   
1088 = "Kvithammer"   
1089 = "Grønberg"   
2734 = "Vihalsen"   
4861 = "Løddesøl"   
     
## OCEANIA    
     
# EASTERN POLYNESIA   
     
1244 = "Pollentia"   
1987 = "Jøsenfjorden"   
1988 = "Bråtveit"   
     
# EAST MICRONESIA   
     
#N/A
#N/A
#N/A
1994 = "Øya Hamsun"   
     
# FIJI    
     
1242 = "Pitlingen"   
4937 = "Undheim"   
4938 = "Kvernaland"   
     
# MELANESIA    
     
1236 = "Tyinkrysset"   
1238 = "Grindaheim"   
1239 = "Skjoldastraumen"   
1986 = "Nye Andabeløy"   
     
# NORTHERN POLYNESIA   
     
1240 = "Værestrøa"   
#N/A
4934 = "Eigerøya"   
4935 = "Kleivaland"   
4936 = "Varhaug"   
     
# POLYNESIA    
     
1243 = "Solakrossen"   
1989 = "Fjellsæ"   
1990 = "Mekjarvik"   
1992 = "Øya Nærbø"   
     
# TE IKA A MAUI HAUAURU
     
1106 = "Vågsbygd"   
1107 = "Hundhammeren"   
2739 = "Mjølhus"   
     
# TE IKA A MAUI WAHO
     
1108 = "Tangvall"   
2737 = "Frøysland"   
4939 = "Brennåsen"   
     
# TE WAIPOUNAMU   
     
1109 = "Hæåk"   
1246 = "Kjørestad"   
2738 = "Raudberg"   
     
# WEST MICRONESIA   
     
1235 = "Kvignadal"   
1995 = "Borlaug"   
1996 = "Lærdalsøyri"   
