### NORTH AMERICA   
     
## CALIFORNIA    
     
# ALTA CALIFORNIA   

# TOP END   
     
2728 = "Hwalhyang"   
2729 = "Deogtae"   
4846 = "Sinheung"   
4847 = "Gosu"   
     
# VICTORIA    
     
1087 = "Yangbaeg"   
1088 = "Yeocheon"   
1089 = "Lyongcheong"   
2734 = "Myeong-gang"   
4861 = "Seongnyeong"   
     
## OCEANIA    
     
# EASTERN POLYNESIA   
     
1244 = "Soan Gundo"   
1987 = "Namhae Gundo"   
1988 = "Dongje Do"   
     
# EAST MICRONESIA   
     
1241 = "Pogil Gundo"   
1991 = "Ganghwa Gundo"   
1993 = "Gaui Gundo"   
1994 = "Wan Do"   
     
# FIJI    
     
1242 = "Yeon Do"   
4937 = "Yeonpyeong Gundo"   
4938 = "Baeg-a Do"   
     
# MELANESIA    
     
1236 = "Lyeongheung Gundo"   
1238 = "Nanji Gundo"   
1239 = "Anmyeon Gundo"   
1986 = "Bunam Gundo"   
     
# NORTHERN POLYNESIA   
     
1240 = "Jeonghae Do"   
1997 = "Changmyeong-Gundo"   
4934 = "Man Do"   
4935 = "I Do"   
4936 = "Seon Do"   
     
# POLYNESIA    
     
1243 = "Ja-eun Gundo"   
1989 = "Heugsan Gundo"   
1990 = "Gunsang Gundo"   
1992 = "Tan Do"   
     
# TE IKA A MAUI HAUAURU
     
1106 = "Gyetae"   
1107 = "Dong-go"   
2739 = "Gujo"   
     
# TE IKA A MAUI WAHO
     
1108 = "Gugpo"   
2737 = "Seong-gog"   
4939 = "Su-seong"   
     
# TE WAIPOUNAMU   
     
1109 = "Nanog"   
1246 = "Seungpyeong"   
2738 = "Og-ui"   
     
# WEST MICRONESIA   
     
1235 = "Baegheung Gundo"   
1995 = "Geocha Gundo"   
1996 = "Nano Gundo"
